"","V1","subid","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",NA,37,1,"0","cats",TRUE,1,2741,"lexical","nothing"
"2",NA,37,2,"0","rainboots",TRUE,1,1542,"lexical","nothing"
"3",NA,37,3,"0","cars",TRUE,1,1551,"lexical","nothing"
"4",NA,37,4,"0","carrots",TRUE,1,1556,"lexical","nothing"
"5",NA,37,5,"0","presents",FALSE,1,976,"lexical","item"
"6",NA,37,6,"0","forks",FALSE,1,1163,"plural","nothing"
"7",NA,37,7,"0","shovels",TRUE,1,1183,"plural","item"
"8",NA,37,8,"0","scissors",TRUE,1,1232,"plural","item"
"9",NA,37,9,"0","apples",TRUE,1,1438,"plural","item"
"10",NA,37,10,"0","plants",TRUE,1,1105,"plural","item"
"11",NA,37,11,"0","dogs",FALSE,1,1148,"plural","nothing"
"12",NA,37,12,"0","phones",FALSE,0,1642,"lexical","nothing"
"13",NA,37,13,"0","pencils",FALSE,0,837,"lexical","nothing"
"14",NA,37,14,"0","cakes",TRUE,1,911,"plural","item"
"15",NA,37,15,"0","flowers",FALSE,1,1885,"plural","nothing"
"16",NA,37,16,"0","guitars",TRUE,1,861,"plural","item"
"17",NA,37,17,"0","fish",FALSE,1,1502,"plural","nothing"
"18",NA,37,18,"0","backpacks",TRUE,1,1231,"lexical","nothing"
"19",NA,37,19,"0","buckets",FALSE,1,1405,"plural","nothing"
"20",NA,37,20,"0","daisies",FALSE,1,1996,"lexical","item"
"21",NA,37,21,"0","bows",TRUE,0,1403,"plural","nothing"
"22",NA,37,22,"0","bananas",FALSE,1,1069,"lexical","item"
"23",NA,37,23,"0","kites",FALSE,1,1343,"lexical","item"
"24",NA,37,24,"0","mittens",FALSE,0,1102,"plural","item"
"25",NA,37,25,"0","purses",FALSE,1,1677,"lexical","item"
"26",NA,37,26,"0","cookies",FALSE,1,1745,"lexical","item"
"27",NA,37,27,"0","donuts",FALSE,1,1520,"lexical","item"
"28",NA,37,28,"0","umbrellas",FALSE,1,865,"plural","nothing"
"29",NA,2,1,"0","fish",FALSE,1,2180,"plural","nothing"
"30",NA,2,2,"0","phones",FALSE,1,1839,"lexical","item"
"31",NA,2,3,"0","cats",TRUE,1,2687,"lexical","nothing"
"32",NA,2,4,"0","backpacks",TRUE,1,1535,"plural","item"
"33",NA,2,5,"0","carrots",TRUE,1,2193,"lexical","nothing"
"34",NA,2,6,"0","guitars",FALSE,1,1709,"lexical","item"
"35",NA,2,7,"0","forks",TRUE,1,1982,"lexical","nothing"
"36",NA,2,8,"0","rainboots",FALSE,0,1982,"plural","item"
"37",NA,2,9,"0","umbrellas",FALSE,1,2286,"plural","nothing"
"38",NA,2,10,"0","plants",FALSE,1,1838,"lexical","item"
"39",NA,2,11,"0","cars",TRUE,1,1600,"plural","item"
"40",NA,2,12,"0","donuts",FALSE,1,1887,"lexical","item"
"41",NA,2,13,"0","flowers",FALSE,1,1982,"plural","nothing"
"42",NA,2,14,"0","shovels",TRUE,1,1520,"plural","item"
"43",NA,2,15,"0","apples",FALSE,1,1327,"plural","nothing"
"44",NA,2,16,"0","daisies",FALSE,1,1470,"lexical","item"
"45",NA,2,17,"0","dogs",TRUE,1,1628,"lexical","nothing"
"46",NA,2,18,"0","kites",FALSE,1,1950,"plural","nothing"
"47",NA,2,19,"0","cakes",FALSE,1,1967,"plural","nothing"
"48",NA,2,20,"0","purses",TRUE,1,1183,"plural","item"
"49",NA,2,21,"0","pencils",FALSE,0,1728,"lexical","nothing"
"50",NA,2,22,"0","bows",FALSE,1,1728,"plural","nothing"
"51",NA,2,23,"0","cookies",FALSE,1,1502,"lexical","item"
"52",NA,2,24,"0","scissors",TRUE,1,1456,"plural","item"
"53",NA,2,25,"0","buckets",FALSE,1,1231,"lexical","item"
"54",NA,2,26,"0","bananas",TRUE,1,2111,"lexical","nothing"
"55",NA,2,27,"0","presents",TRUE,1,1583,"plural","item"
"56",NA,2,28,"0","mittens",TRUE,1,1551,"lexical","nothing"
"57",NA,100,1,"0","bows",FALSE,1,1930,"lexical","item"
"58",NA,100,2,"0","donuts",FALSE,1,1650,"lexical","item"
"59",NA,100,3,"0","cakes",FALSE,1,1210,"plural","nothing"
"60",NA,100,4,"0","pencils",FALSE,0,870,"lexical","nothing"
"61",NA,100,5,"0","cats",FALSE,1,850,"plural","nothing"
"62",NA,100,6,"0","carrots",TRUE,1,1950,"plural","item"
"63",NA,100,7,"0","cookies",TRUE,1,1000,"plural","item"
"64",NA,100,8,"0","dogs",FALSE,0,1512,"lexical","nothing"
"65",NA,100,9,"0","umbrellas",TRUE,1,1277,"plural","item"
"66",NA,100,10,"0","forks",FALSE,1,2557,"lexical","item"
"67",NA,100,11,"0","presents",FALSE,1,2229,"plural","nothing"
"68",NA,100,12,"0","daisies",TRUE,1,1520,"plural","item"
"69",NA,100,13,"0","purses",TRUE,1,1430,"lexical","nothing"
"70",NA,100,14,"0","mittens",TRUE,1,1480,"lexical","nothing"
"71",NA,100,15,"0","flowers",FALSE,1,1670,"lexical","item"
"72",NA,100,16,"0","rainboots",TRUE,1,2040,"lexical","nothing"
"73",NA,100,17,"0","scissors",FALSE,1,1680,"plural","nothing"
"74",NA,100,18,"0","apples",FALSE,1,1710,"lexical","item"
"75",NA,100,19,"0","bananas",TRUE,1,920,"plural","item"
"76",NA,100,20,"0","plants",TRUE,1,1410,"lexical","nothing"
"77",NA,100,21,"0","phones",FALSE,1,1540,"lexical","item"
"78",NA,100,22,"0","guitars",FALSE,1,1600,"plural","nothing"
"79",NA,100,23,"0","buckets",TRUE,1,1700,"plural","item"
"80",NA,100,24,"0","shovels",FALSE,1,1460,"plural","nothing"
"81",NA,100,25,"0","cars",FALSE,1,1600,"plural","nothing"
"82",NA,100,26,"0","backpacks",FALSE,1,2290,"lexical","item"
"83",NA,100,27,"0","fish",TRUE,1,1611,"lexical","nothing"
"84",NA,100,28,"0","kites",TRUE,1,1427,"plural","item"
"85",NA,80,1,"1","plants",TRUE,1,3233,"plural","item"
"86",NA,80,2,"1","cakes",FALSE,1,2085,"lexical","item"
"87",NA,80,3,"1","umbrellas",FALSE,1,2203,"lexical","item"
"88",NA,80,4,"1","daisies",FALSE,1,2154,"lexical","item"
"89",NA,80,5,"1","mittens",FALSE,1,2730,"lexical","item"
"90",NA,80,6,"1","cats",TRUE,1,1628,"plural","item"
"91",NA,80,7,"1","bows",FALSE,0,2630,"plural","item"
"92",NA,80,8,"1","dogs",FALSE,1,1458,"lexical","item"
"93",NA,80,9,"1","backpacks",FALSE,1,2867,"plural","nothing"
"94",NA,80,10,"1","fish",FALSE,1,1512,"lexical","item"
"95",NA,80,11,"1","donuts",TRUE,1,1682,"lexical","nothing"
"96",NA,80,12,"1","rainboots",TRUE,1,2109,"plural","item"
"97",NA,80,13,"1","presents",TRUE,1,1884,"plural","item"
"98",NA,80,14,"1","forks",FALSE,1,1555,"plural","nothing"
"99",NA,80,15,"1","pencils",FALSE,1,1627,"plural","nothing"
"100",NA,80,16,"1","flowers",FALSE,1,1802,"plural","nothing"
"101",NA,80,17,"1","guitars",FALSE,1,1442,"plural","nothing"
"102",NA,80,18,"1","bananas",TRUE,1,2120,"lexical","nothing"
"103",NA,80,19,"1","apples",FALSE,0,1311,"lexical","nothing"
"104",NA,80,20,"1","phones",FALSE,0,970,"lexical","nothing"
