"","V1","subid","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",NA,162,1,"0","rainboots",FALSE,1,2030,"lexical","item"
"2",NA,162,2,"0","kites",TRUE,1,1807,"plural","item"
"3",NA,162,3,"0","fish",FALSE,1,2037,"plural","nothing"
"4",NA,162,4,"0","umbrellas",TRUE,1,1821,"lexical","nothing"
"5",NA,162,5,"0","shovels",TRUE,1,1394,"plural","item"
"6",NA,162,6,"0","carrots",TRUE,1,1576,"plural","item"
"7",NA,162,7,"0","presents",FALSE,1,1543,"lexical","item"
"8",NA,162,8,"0","cookies",TRUE,1,1367,"lexical","nothing"
"9",NA,162,9,"0","flowers",FALSE,1,1592,"lexical","item"
"10",NA,162,10,"0","cars",FALSE,1,2186,"plural","nothing"
"11",NA,162,11,"0","plants",FALSE,0,2578,"lexical","nothing"
"12",NA,162,12,"0","donuts",TRUE,1,1249,"plural","item"
"13",NA,162,13,"0","forks",FALSE,1,1371,"plural","nothing"
"14",NA,162,14,"0","dogs",TRUE,1,1877,"lexical","nothing"
"15",NA,162,15,"0","pencils",FALSE,1,1699,"lexical","item"
"16",NA,162,16,"0","purses",FALSE,1,1672,"plural","nothing"
"17",NA,162,17,"0","scissors",FALSE,1,1680,"lexical","item"
"18",NA,162,18,"0","phones",TRUE,1,1292,"plural","item"
"19",NA,162,19,"0","apples",FALSE,1,1309,"plural","nothing"
"20",NA,162,20,"0","daisies",FALSE,1,1530,"lexical","item"
"21",NA,162,21,"0","bows",TRUE,0,1962,"plural","nothing"
"22",NA,162,22,"0","mittens",TRUE,1,1735,"lexical","nothing"
"23",NA,162,23,"0","cakes",TRUE,1,1165,"lexical","nothing"
"24",NA,162,24,"0","bananas",FALSE,1,1540,"lexical","item"
"25",NA,162,25,"0","guitars",TRUE,1,1244,"plural","item"
"26",NA,162,26,"0","buckets",TRUE,1,1124,"plural","item"
"27",NA,162,27,"0","cats",TRUE,1,1283,"lexical","nothing"
"28",NA,162,28,"0","balloons",FALSE,1,1740,"plural","nothing"
"29",NA,37,1,"0","shovels",TRUE,1,1843,"plural","item"
"30",NA,37,2,"0","donuts",FALSE,1,2156,"lexical","item"
"31",NA,37,3,"0","flowers",TRUE,1,2578,"plural","item"
"32",NA,37,4,"0","mittens",TRUE,1,2094,"lexical","nothing"
"33",NA,37,5,"0","cars",FALSE,1,2109,"plural","nothing"
"34",NA,37,6,"0","bananas",TRUE,1,2015,"plural","item"
"35",NA,37,7,"0","carrots",FALSE,1,2016,"lexical","item"
"36",NA,37,8,"0","forks",TRUE,1,2094,"lexical","nothing"
"37",NA,37,9,"0","cakes",TRUE,1,1875,"plural","item"
"38",NA,37,10,"0","cookies",TRUE,1,2031,"lexical","nothing"
"39",NA,37,11,"0","buckets",FALSE,1,1937,"plural","nothing"
"40",NA,37,12,"0","apples",FALSE,1,1719,"plural","nothing"
"41",NA,37,13,"0","purses",FALSE,1,2359,"lexical","item"
"42",NA,37,14,"0","daisies",FALSE,1,2125,"lexical","item"
"43",NA,37,15,"0","guitars",FALSE,1,1375,"plural","nothing"
"44",NA,37,16,"0","balloons",FALSE,1,1656,"plural","nothing"
"45",NA,37,17,"0","bows",FALSE,0,2000,"plural","item"
"46",NA,37,18,"0","cats",FALSE,1,1937,"lexical","item"
"47",NA,37,19,"0","rainboots",TRUE,1,1969,"plural","item"
"48",NA,37,20,"0","dogs",TRUE,1,1797,"lexical","nothing"
"49",NA,37,21,"0","fish",FALSE,1,2078,"lexical","item"
"50",NA,37,22,"0","scissors",FALSE,1,1829,"lexical","item"
"51",NA,37,23,"0","phones",TRUE,1,1969,"lexical","nothing"
"52",NA,37,24,"0","presents",FALSE,1,2250,"plural","nothing"
"53",NA,37,25,"0","kites",TRUE,1,2079,"lexical","nothing"
"54",NA,37,26,"0","plants",TRUE,1,2781,"plural","item"
"55",NA,37,27,"0","umbrellas",TRUE,1,1734,"lexical","nothing"
"56",NA,37,28,"0","pencils",FALSE,1,2344,"plural","nothing"
"57",NA,168,1,"1","umbrellas",TRUE,1,2208,"lexical","nothing"
"58",NA,168,2,"1","pencils",FALSE,1,2087,"plural","nothing"
"59",NA,168,3,"1","rainboots",TRUE,1,1695,"lexical","nothing"
"60",NA,168,4,"1","forks",TRUE,1,2280,"plural","item"
"61",NA,168,5,"1","bananas",FALSE,1,1819,"plural","nothing"
"62",NA,168,6,"1","cookies",TRUE,1,1594,"lexical","nothing"
"63",NA,168,7,"1","purses",TRUE,1,1999,"lexical","nothing"
"64",NA,168,8,"1","scissors",FALSE,1,1493,"plural","nothing"
"65",NA,168,9,"1","phones",FALSE,1,2809,"lexical","item"
"66",NA,168,10,"1","cars",FALSE,1,1437,"lexical","item"
"67",NA,168,11,"1","donuts",TRUE,1,1369,"plural","item"
"68",NA,168,12,"1","flowers",FALSE,1,3315,"plural","nothing"
"69",NA,168,13,"1","guitars",FALSE,1,1808,"lexical","item"
"70",NA,168,14,"1","plants",TRUE,1,1346,"plural","item"
"71",NA,168,15,"1","cats",FALSE,1,1256,"lexical","item"
"72",NA,168,16,"1","daisies",FALSE,1,1358,"lexical","item"
"73",NA,168,17,"1","bows",TRUE,1,1818,"plural","item"
"74",NA,168,18,"1","cakes",FALSE,1,1504,"plural","nothing"
"75",NA,168,19,"1","mittens",FALSE,1,1526,"plural","nothing"
"76",NA,168,20,"1","fish",TRUE,1,1459,"plural","item"
"77",NA,168,21,"1","presents",TRUE,1,1447,"plural","item"
"78",NA,168,22,"1","apples",TRUE,1,1875,"lexical","nothing"
"79",NA,168,23,"1","carrots",FALSE,1,1616,"lexical","item"
"80",NA,168,24,"1","balloons",TRUE,1,1920,"lexical","nothing"
"81",NA,168,25,"1","buckets",FALSE,1,1436,"lexical","item"
"82",NA,168,26,"1","shovels",TRUE,1,1898,"lexical","nothing"
"83",NA,168,27,"1","dogs",FALSE,0,1481,"plural","item"
"84",NA,168,28,"1","kites",FALSE,1,1942,"plural","nothing"
"85",NA,26,1,"2","daisies",TRUE,1,2578,"plural","item"
"86",NA,26,2,"2","cakes",FALSE,1,1496,"lexical","item"
"87",NA,26,3,"2","flowers",TRUE,1,1600,"lexical","nothing"
"88",NA,26,4,"2","cookies",FALSE,1,1583,"plural","nothing"
"89",NA,26,5,"2","kites",FALSE,1,1662,"plural","nothing"
"90",NA,26,6,"2","cats",FALSE,1,1801,"plural","nothing"
"91",NA,26,7,"2","buckets",TRUE,1,1093,"plural","item"
"92",NA,26,8,"2","shovels",TRUE,1,1311,"plural","item"
"93",NA,26,9,"2","dogs",FALSE,1,1085,"lexical","item"
"94",NA,26,10,"2","plants",FALSE,1,1599,"lexical","item"
"95",NA,26,11,"2","presents",FALSE,1,988,"plural","nothing"
"96",NA,26,12,"2","phones",TRUE,1,2443,"lexical","nothing"
"97",NA,26,13,"2","pencils",FALSE,1,1794,"plural","nothing"
"98",NA,26,14,"2","fish",TRUE,1,1271,"lexical","nothing"
"99",NA,26,15,"2","umbrellas",TRUE,1,1259,"lexical","nothing"
"100",NA,26,16,"2","apples",TRUE,1,1931,"plural","item"
"101",NA,26,17,"2","bows",FALSE,1,1472,"plural","nothing"
"102",NA,26,18,"2","purses",TRUE,1,1329,"lexical","nothing"
"103",NA,26,19,"2","rainboots",TRUE,1,1234,"lexical","nothing"
"104",NA,26,20,"2","forks",FALSE,1,1110,"plural","nothing"
"105",NA,26,21,"2","cars",TRUE,1,1458,"lexical","nothing"
"106",NA,26,22,"2","bananas",FALSE,1,1334,"lexical","item"
"107",NA,26,23,"2","balloons",FALSE,1,1226,"lexical","item"
"108",NA,26,24,"2","guitars",TRUE,1,1250,"plural","item"
"109",NA,26,25,"2","carrots",TRUE,1,1521,"plural","item"
"110",NA,26,26,"2","mittens",TRUE,1,898,"plural","item"
"111",NA,26,27,"2","scissors",FALSE,1,960,"lexical","item"
"112",NA,26,28,"2","donuts",FALSE,1,1221,"lexical","item"
"113",NA,186,1,"3","cakes",FALSE,1,3074,"lexical","item"
"114",NA,186,2,"3","scissors",FALSE,1,2056,"plural","nothing"
"115",NA,186,3,"3","bananas",TRUE,1,1452,"lexical","nothing"
"116",NA,186,4,"3","mittens",FALSE,1,2262,"plural","nothing"
"117",NA,186,5,"3","forks",TRUE,1,1298,"plural","item"
"118",NA,186,6,"3","presents",FALSE,1,1309,"lexical","item"
"119",NA,186,7,"3","dogs",TRUE,1,1435,"plural","item"
"120",NA,186,8,"3","rainboots",FALSE,1,1775,"lexical","item"
"121",NA,186,9,"3","balloons",FALSE,1,1314,"lexical","item"
"122",NA,186,10,"3","pencils",FALSE,1,1114,"lexical","item"
"123",NA,186,11,"3","bows",FALSE,1,1482,"lexical","item"
"124",NA,186,12,"3","guitars",TRUE,1,1268,"plural","item"
"125",NA,186,13,"3","cats",TRUE,1,2032,"plural","item"
"126",NA,186,14,"3","fish",TRUE,1,2129,"lexical","nothing"
"127",NA,186,15,"3","umbrellas",TRUE,1,2032,"lexical","nothing"
"128",NA,186,16,"3","cookies",TRUE,1,1321,"plural","item"
"129",NA,186,17,"3","donuts",TRUE,1,1530,"lexical","nothing"
"130",NA,186,18,"3","cars",FALSE,1,1735,"plural","nothing"
"131",NA,186,19,"3","carrots",FALSE,1,2177,"plural","nothing"
"132",NA,186,20,"3","daisies",FALSE,1,1633,"plural","nothing"
"133",NA,186,21,"3","shovels",TRUE,1,2004,"plural","item"
"134",NA,186,22,"3","buckets",FALSE,1,1526,"plural","nothing"
"135",NA,186,23,"3","purses",TRUE,1,1851,"lexical","nothing"
"136",NA,186,24,"3","plants",TRUE,1,2153,"lexical","nothing"
"137",NA,186,25,"3","kites",FALSE,1,2045,"plural","nothing"
"138",NA,186,26,"3","flowers",TRUE,1,1646,"plural","item"
"139",NA,186,27,"3","apples",TRUE,1,1401,"lexical","nothing"
"140",NA,186,28,"3","phones",FALSE,1,2084,"lexical","item"
"141",NA,131,1,"3","shovels",TRUE,1,1571,"lexical","nothing"
"142",NA,131,2,"3","balloons",FALSE,1,2071,"plural","nothing"
"143",NA,131,3,"3","apples",TRUE,1,1557,"lexical","nothing"
"144",NA,131,4,"3","cars",FALSE,1,2221,"lexical","item"
"145",NA,131,5,"3","plants",FALSE,1,1828,"plural","nothing"
"146",NA,131,6,"3","carrots",TRUE,1,1974,"lexical","nothing"
"147",NA,131,7,"3","fish",FALSE,1,1429,"plural","nothing"
"148",NA,131,8,"3","dogs",FALSE,1,1476,"plural","nothing"
"149",NA,131,9,"3","guitars",FALSE,1,1525,"lexical","item"
"150",NA,131,10,"3","rainboots",FALSE,1,1581,"plural","nothing"
"151",NA,131,11,"3","purses",FALSE,1,2285,"lexical","item"
"152",NA,131,12,"3","pencils",FALSE,1,1229,"plural","nothing"
"153",NA,131,13,"3","buckets",TRUE,1,1430,"lexical","nothing"
"154",NA,131,14,"3","presents",TRUE,1,1917,"plural","item"
"155",NA,131,15,"3","daisies",FALSE,1,1461,"lexical","item"
"156",NA,131,16,"3","cats",TRUE,1,1620,"plural","item"
"157",NA,131,17,"3","umbrellas",TRUE,1,1251,"plural","item"
"158",NA,131,18,"3","forks",TRUE,1,1204,"plural","item"
"159",NA,131,19,"3","cakes",TRUE,1,1197,"plural","item"
"160",NA,131,20,"3","bananas",FALSE,1,1118,"lexical","item"
"161",NA,131,21,"3","phones",TRUE,1,1600,"lexical","nothing"
"162",NA,131,22,"3","mittens",TRUE,1,1365,"plural","item"
"163",NA,131,23,"3","flowers",TRUE,1,1675,"lexical","nothing"
"164",NA,131,24,"3","bows",FALSE,1,1684,"plural","nothing"
"165",NA,131,25,"3","kites",FALSE,1,1756,"lexical","item"
"166",NA,131,26,"3","donuts",TRUE,1,1481,"lexical","nothing"
"167",NA,131,27,"3","cookies",TRUE,1,1873,"plural","item"
"168",NA,131,28,"3","scissors",FALSE,1,1654,"lexical","item"
"169",NA,7,1,"0","bows",TRUE,1,7461,"plural","item"
"170",NA,7,2,"0","donuts",FALSE,1,2028,"lexical","item"
"171",NA,7,3,"0","phones",TRUE,1,1937,"plural","item"
"172",NA,7,4,"0","kites",TRUE,1,2069,"lexical","nothing"
"173",NA,7,5,"0","rainboots",TRUE,1,2116,"lexical","nothing"
"174",NA,7,6,"0","dogs",FALSE,1,1421,"plural","nothing"
"175",NA,7,7,"0","scissors",TRUE,0,1508,"plural","nothing"
"176",NA,7,8,"0","presents",FALSE,1,1766,"plural","nothing"
"177",NA,7,9,"0","cats",FALSE,1,1309,"plural","nothing"
"178",NA,7,10,"0","umbrellas",TRUE,1,1459,"plural","item"
"179",NA,7,11,"0","forks",FALSE,1,1532,"lexical","item"
"180",NA,7,12,"0","daisies",TRUE,1,1277,"plural","item"
"181",NA,7,13,"0","bananas",TRUE,1,1388,"lexical","nothing"
"182",NA,7,14,"0","guitars",FALSE,1,1444,"lexical","item"
"183",NA,7,15,"0","shovels",FALSE,1,1516,"lexical","item"
"184",NA,7,16,"0","cookies",FALSE,1,2781,"plural","nothing"
"185",NA,7,17,"0","cakes",TRUE,1,1196,"plural","item"
"186",NA,7,18,"0","apples",FALSE,1,1324,"lexical","item"
"187",NA,7,19,"0","plants",TRUE,1,1148,"plural","item"
"188",NA,7,20,"0","balloons",TRUE,1,4100,"lexical","nothing"
"189",NA,7,21,"0","pencils",FALSE,1,1123,"plural","nothing"
"190",NA,7,22,"0","cars",FALSE,1,1228,"lexical","item"
"191",NA,7,23,"0","mittens",FALSE,1,1692,"plural","nothing"
"192",NA,7,24,"0","fish",FALSE,1,2388,"lexical","item"
"193",NA,7,25,"0","flowers",TRUE,1,1692,"plural","item"
