"","V1","subid","trial.num","context.condition","item","response","correct","rt","text.condition","image.condition"
"1",NA,325,1,"0","backpacks",TRUE,1,2380,"lexical","nothing"
"2",NA,325,2,"0","scissors",FALSE,1,1764,"lexical","item"
"3",NA,325,3,"0","presents",TRUE,1,1513,"lexical","nothing"
"4",NA,325,4,"0","dolls",TRUE,1,1482,"plural","item"
"5",NA,325,5,"0","rainboots",FALSE,1,1544,"plural","nothing"
"6",NA,325,6,"0","fish",TRUE,1,1041,"plural","item"
"7",NA,325,7,"0","guitars",FALSE,1,1301,"lexical","item"
"8",NA,325,8,"0","envelopes",TRUE,1,1851,"lexical","nothing"
"9",NA,325,9,"0","coffee",TRUE,1,1348,"plural","item"
"10",NA,325,10,"0","mittens",FALSE,1,1223,"lexical","item"
"11",NA,325,11,"0","daisies",TRUE,1,1449,"lexical","nothing"
"12",NA,325,12,"0","bears",TRUE,1,1503,"lexical","nothing"
"13",NA,325,13,"0","dogs",TRUE,1,1462,"plural","item"
"14",NA,325,14,"0","beach balls",FALSE,1,1785,"lexical","item"
"15",NA,325,15,"0","bananas",TRUE,1,1653,"lexical","nothing"
"16",NA,325,16,"0","trumpets",FALSE,1,1442,"lexical","item"
"17",NA,325,17,"0","spoons",TRUE,1,1088,"lexical","nothing"
"18",NA,325,18,"0","lollipops",FALSE,1,1019,"lexical","item"
"19",NA,325,19,"0","balloons",FALSE,1,1459,"plural","nothing"
"20",NA,325,20,"0","flashlights",FALSE,1,2132,"plural","nothing"
"21",NA,325,21,"0","notebooks",TRUE,1,1325,"plural","item"
"22",NA,325,22,"0","pencils",FALSE,1,1360,"lexical","item"
"23",NA,325,23,"0","buckets",TRUE,1,1490,"lexical","nothing"
"24",NA,325,24,"0","salads",TRUE,1,1242,"plural","item"
"25",NA,325,25,"0","plants",FALSE,1,1252,"lexical","item"
"26",NA,325,26,"0","cakes",FALSE,1,1577,"plural","nothing"
"27",NA,325,27,"0","apples",TRUE,1,1072,"plural","item"
"28",NA,325,28,"0","purses",FALSE,1,1091,"lexical","item"
"29",NA,325,29,"0","carrots",FALSE,1,1720,"plural","nothing"
"30",NA,325,30,"0","kites",TRUE,1,933,"plural","item"
"31",NA,325,31,"0","cookies",FALSE,1,1164,"lexical","item"
"32",NA,325,32,"0","crayons",FALSE,1,1563,"plural","nothing"
"33",NA,325,33,"0","baskets",FALSE,1,1263,"plural","nothing"
"34",NA,325,34,"0","cars",TRUE,1,1550,"lexical","nothing"
"35",NA,325,35,"0","shovels",FALSE,1,950,"plural","nothing"
"36",NA,325,36,"0","tennis balls",FALSE,1,1182,"plural","nothing"
"37",NA,325,37,"0","keys",TRUE,1,995,"plural","item"
"38",NA,325,38,"0","donuts",TRUE,1,931,"plural","item"
"39",NA,325,39,"0","pie",FALSE,1,1127,"lexical","item"
"40",NA,325,40,"0","bows",FALSE,1,1777,"plural","nothing"
"41",NA,325,41,"0","ice cream",TRUE,1,1139,"lexical","nothing"
"42",NA,325,42,"0","cats",TRUE,1,1433,"lexical","nothing"
"43",NA,325,43,"0","phones",FALSE,1,1283,"plural","nothing"
"44",NA,325,44,"0","oranges",FALSE,1,1831,"plural","nothing"
"45",NA,325,45,"0","flowers",TRUE,1,1509,"plural","item"
"46",NA,325,46,"0","bowls",TRUE,1,751,"plural","item"
"47",NA,325,47,"0","forks",FALSE,0,968,"lexical","nothing"
"48",NA,325,48,"0","umbrellas",FALSE,1,1262,"lexical","item"
"49",NA,92,1,"1","donuts",TRUE,1,1615,"lexical","nothing"
"50",NA,92,2,"1","forks",TRUE,1,1754,"lexical","nothing"
"51",NA,92,3,"1","fish",TRUE,1,1531,"plural","item"
"52",NA,92,4,"1","cookies",TRUE,1,1753,"lexical","nothing"
"53",NA,92,5,"1","crayons",TRUE,1,1848,"lexical","nothing"
"54",NA,92,6,"1","pencils",TRUE,1,1728,"plural","item"
"55",NA,92,7,"1","cats",FALSE,1,2294,"lexical","item"
"56",NA,92,8,"1","plants",FALSE,1,1861,"plural","nothing"
"57",NA,92,9,"1","coffee",FALSE,1,2417,"lexical","item"
"58",NA,92,10,"1","keys",TRUE,1,1763,"lexical","nothing"
"59",NA,92,11,"1","spoons",TRUE,1,1967,"plural","item"
"60",NA,92,12,"1","notebooks",TRUE,1,2492,"plural","item"
"61",NA,92,13,"1","scissors",TRUE,1,1985,"plural","item"
